drug_name,evidence_level,indication_count,parent_category,url
Pimozide,L5,10,僅模型預測 (L5),/drugs/pimozide/
Pipemidic Acid,L5,10,僅模型預測 (L5),/drugs/pipemidic_acid/
Pitavastatin,L5,10,僅模型預測 (L5),/drugs/pitavastatin/
Pitolisant,L5,3,僅模型預測 (L5),/drugs/pitolisant/
Polyethylene Glycol,L5,1,僅模型預測 (L5),/drugs/polyethylene_glycol/
Polyethylene Glycol 400,L5,2,僅模型預測 (L5),/drugs/polyethylene_glycol_400/
Polymyxin B,L5,3,僅模型預測 (L5),/drugs/polymyxin_b/
Polysorbate 80,L5,1,僅模型預測 (L5),/drugs/polysorbate_80/
Potassium Iodide,L5,2,僅模型預測 (L5),/drugs/potassium_iodide/
Povidone,L5,1,僅模型預測 (L5),/drugs/povidone/
Pralatrexate,L4,10,中證據等級 (L3-L4),/drugs/pralatrexate/
Pravastatin,L5,9,僅模型預測 (L5),/drugs/pravastatin/
Prednisolone,L3,10,中證據等級 (L3-L4),/drugs/prednisolone/
Prednisolone Acetate,L4,10,中證據等級 (L3-L4),/drugs/prednisolone_acetate/
Prednisone,L2,10,高證據等級 (L1-L2),/drugs/prednisone/
Probenecid,L4,3,中證據等級 (L3-L4),/drugs/probenecid/
Propantheline,L3,2,中證據等級 (L3-L4),/drugs/propantheline/
Raloxifene,L5,4,僅模型預測 (L5),/drugs/raloxifene/
Ramucirumab,L5,10,僅模型預測 (L5),/drugs/ramucirumab/
Regorafenib,L2,8,高證據等級 (L1-L2),/drugs/regorafenib/
Remdesivir,L5,6,僅模型預測 (L5),/drugs/remdesivir/
Ribavirin,L3,10,中證據等級 (L3-L4),/drugs/ribavirin/
Riluzole,L4,10,中證據等級 (L3-L4),/drugs/riluzole/
Ritonavir,L4,3,中證據等級 (L3-L4),/drugs/ritonavir/
Ropinirole,L4,10,中證據等級 (L3-L4),/drugs/ropinirole/
Rotigotine,L4,10,中證據等級 (L3-L4),/drugs/rotigotine/
Sacituzumab Govitecan,L5,4,僅模型預測 (L5),/drugs/sacituzumab_govitecan/
Salicylamide,L4,10,中證據等級 (L3-L4),/drugs/salicylamide/
Salicylic Acid,L5,10,僅模型預測 (L5),/drugs/salicylic_acid/
Scopolamine,L5,6,僅模型預測 (L5),/drugs/scopolamine/
Silicon Dioxide,L4,4,中證據等級 (L3-L4),/drugs/silicon_dioxide/
Simoctocog Alfa,L5,10,僅模型預測 (L5),/drugs/simoctocog_alfa/
Sodium Carbonate,L5,6,僅模型預測 (L5),/drugs/sodium_carbonate/
Sodium Citrate,L5,9,僅模型預測 (L5),/drugs/sodium_citrate/
Sulfamerazine,L5,4,僅模型預測 (L5),/drugs/sulfamerazine/
Sulfamethazine,L5,6,僅模型預測 (L5),/drugs/sulfamethazine/
Tazarotene,L5,3,僅模型預測 (L5),/drugs/tazarotene/
Temozolomide,L1,2,高證據等級 (L1-L2),/drugs/temozolomide/
Tenofovir Alafenamide,L5,3,僅模型預測 (L5),/drugs/tenofovir_alafenamide/
Terbutaline,L5,3,僅模型預測 (L5),/drugs/terbutaline/
Teriparatide,L5,10,僅模型預測 (L5),/drugs/teriparatide/
Tetrabenazine,L5,10,僅模型預測 (L5),/drugs/tetrabenazine/
Tetryzoline,L4,2,中證據等級 (L3-L4),/drugs/tetryzoline/
Theophylline,L5,7,僅模型預測 (L5),/drugs/theophylline/
Thiamine,L5,4,僅模型預測 (L5),/drugs/thiamine/
Threonine,L5,1,僅模型預測 (L5),/drugs/threonine/
Tiaprofenic Acid,L5,10,僅模型預測 (L5),/drugs/tiaprofenic_acid/
Timepidium,L5,1,僅模型預測 (L5),/drugs/timepidium/
Tinidazole,L5,10,僅模型預測 (L5),/drugs/tinidazole/
Tioconazole,L5,3,僅模型預測 (L5),/drugs/tioconazole/
Titanium Dioxide,L5,10,僅模型預測 (L5),/drugs/titanium_dioxide/
Tizanidine,L5,6,僅模型預測 (L5),/drugs/tizanidine/
Tofacitinib,L5,0,僅模型預測 (L5),/drugs/tofacitinib/
Tolmetin,L5,10,僅模型預測 (L5),/drugs/tolmetin/
Trabectedin,L5,1,僅模型預測 (L5),/drugs/trabectedin/
Tranexamic Acid,L5,1,僅模型預測 (L5),/drugs/tranexamic_acid/
Trastuzumab Deruxtecan,L5,1,僅模型預測 (L5),/drugs/trastuzumab_deruxtecan/
Travoprost,L5,3,僅模型預測 (L5),/drugs/travoprost/
Treprostinil,L5,10,僅模型預測 (L5),/drugs/treprostinil/
Trifluoperazine,L5,1,僅模型預測 (L5),/drugs/trifluoperazine/
Trihexyphenidyl,L5,10,僅模型預測 (L5),/drugs/trihexyphenidyl/
Tyrosine,L5,10,僅模型預測 (L5),/drugs/tyrosine/
Urea,L5,0,僅模型預測 (L5),/drugs/urea/
Verteporfin,L5,1,僅模型預測 (L5),/drugs/verteporfin/
Vigabatrin,L5,0,僅模型預測 (L5),/drugs/vigabatrin/
Vinorelbine,L3,10,中證據等級 (L3-L4),/drugs/vinorelbine/
Vismodegib,L4,10,中證據等級 (L3-L4),/drugs/vismodegib/
Vitamin E,L3,10,中證據等級 (L3-L4),/drugs/vitamin_e/
Vonoprazan,L2,10,高證據等級 (L1-L2),/drugs/vonoprazan/
Voriconazole,L5,0,僅模型預測 (L5),/drugs/voriconazole/
Warfarin,L5,3,僅模型預測 (L5),/drugs/warfarin/
Warfarin Af,L5,0,僅模型預測 (L5),/drugs/warfarin_af/
Warfarin Atrial Fibrillation,L5,0,僅模型預測 (L5),/drugs/warfarin_atrial_fibrillation/
Xylitol,L5,1,僅模型預測 (L5),/drugs/xylitol/
Xylometazoline,L5,2,僅模型預測 (L5),/drugs/xylometazoline/
Zanubrutinib,L5,6,僅模型預測 (L5),/drugs/zanubrutinib/
